ID,Name,URL,Organizer,Registered Count (Legacy),Registration Count,Impression Count,About Content,Organizer Contact,Important Dates,Official Website,Scraped At,Updated At
457,Cognition GameJam 2025,https://unstop.com/hackathons/cognition-gamejam-2025-sies-graduate-school-of-technology-siesgst-navi-mumbai-1542011,"S.I.E.S Graduate School of Technology (SIESGST), Navi Mumbai",341,341,60675,"Everything you need to know about
Cognition GameJam 2025
Cognition GameJam 2025 | SIES Graduate School of Technology:
Cognition GameJam 2025 is your chance to step into the exciting world of game development! This isn’t just about making a game — it’s about showing creativity, technical skills, and adaptability under real hackathon conditions. Whether you’re a solo developer or part of a team, this is your platform to shine.
GameJam is a fast-paced, multi-round hackathon where developers create innovative games under time and design constraints. With teams of 1-4 members, you’ll start by building a prototype that showcases your fundamental skills and then face the ultimate challenge in the final round when the theme is revealed!
Why Participate:
Win Big: Prize pool worth ₹15,000 for the best games.
Learn from Experts: Access workshops and tutorials on game design, Unity, Unreal, and more.
Industry Exposure: Get your game reviewed by judges from the gaming industry.
Networking: Connect with game developers, designers, and enthusiasts.
Event Details:
Game Development Workshop : 7th September 2025
Prototype Submission: 14th September 2025
Theme Reveal: 19th September 2025
Finals & Showcase: 20th September 2025
*WhatsApp Group :
For further details regarding the event and workshop, join the
WhatsApp
group below
:
Join Group!
Location:
Screening Round: Online
Final Round: On-Campus
Registration Fee:
Free
Eligibility:
Open to all
Judging Criteria:
Prototype Round: Functionality, Gameplay Elements, Technical Implementation
Final Round: Creativity, Innovation, Execution, Adaptability to Twist
Additional Perks:
Hands-on Workshops on game engines and design principles
Exclusive Goodies & Networking Opportunities
Mentorship and Internship Offers for Top Teams","ashwinkm.2005@gmail.com
+918928832113
maheshvaishnav7091@gmail.com
+917710877803","Start: 21 Aug 25, 03:30 AM CUT End: 14 Sep 25, 06:29 PM CUT
Start: 21 Aug 25, 03:30 AM CUT
End: 14 Sep 25, 06:29 PM CUT
Start: 18 Sep 25, 06:30 PM CUT End: 19 Sep 25, 06:29 PM CUT
Start: 18 Sep 25, 06:30 PM CUT
End: 19 Sep 25, 06:29 PM CUT
20 Sep 25 Final Showcase - Offline Date: 20th September 2025 Location: SIES Graduate School of Technology (On-Campus) Teams present their final game build live to judges and the audience. Start: 20 Sep 25, 03:30 AM CUT End: 20 Sep 25, 01:30 PM CUT
Final Showcase - Offline Date: 20th September 2025 Location: SIES Graduate School of Technology (On-Campus) Teams present their final game build live to judges and the audience. Start: 20 Sep 25, 03:30 AM CUT End: 20 Sep 25, 01:30 PM CUT
Start: 20 Sep 25, 03:30 AM CUT End: 20 Sep 25, 01:30 PM CUT
Start: 20 Sep 25, 03:30 AM CUT
End: 20 Sep 25, 01:30 PM CUT
Registration Deadline 16 Sep 25, 06:29 PM CUT
Prototype Submission Deadline 16 Sep 25, 06:29 PM CUT",https://chat.whatsapp.com/JPwnSUSqQyHFDboxriyArt,2025-10-27T19:53:57.241058+00:00,2025-11-04T18:02:01.921071+00:00
456,0xGenIgnite,https://unstop.com/hackathons/0xgenignite-srm-institute-of-science-and-technology-srmist-delhincr-campus-1514498,"SRM Institute of Science and Technology (SRMIST), Delhi/NCR Campus",1192,1192,149521,"Everything you need to know about
0xGenIgnite
0xGenIgnite – A National Level 24-Hour Hybrid Hackathon
Date:
10-11 October, 2025
Location:
Goa
0xGenIgnite is a national-level, student-led Hybrid hackathon uniting the brightest tech minds from across India for an intense Web3 coding marathon. This event challenges participants to innovate and collaborate in a high-stakes environment, with escalating rounds of problem-solving and real-time feedback from industry experts.
Join the Official Whatsapp Group: https://chat.whatsapp.com/ElZOWKFv5ThB2NOq8cvqQl
Note:
Shortlisting criteria and Problem Statement to be revealed soon. Stay tuned and do follow our socials!!
Key Highlights:
Multi-round hackathon with increasing complexity
Opportunity to showcase your skills in front of top professionals
Certification and potential recognition from tech leaders
Finale @
Goa
Eligibility & Team Guidelines:
Open to all college students across India
Inter-college teams are allowed
Inter-specialization teams are encouraged
Team size: 3 to 5 members
Rules & General Guidelines:
Projects must be built from scratch during the hackathon
Use of pre-approved libraries/frameworks is permitted
Plagiarism or reuse of existing projects will lead to disqualification
Use of AI tools is allowed with transparent documentation, but must not replace core development
Teams are expected to maintain respectful collaboration and adhere to mentor/judge feedback
The organizing team may revise event details or rules if necessary",,"Registration Deadline 15 Sep 25, 06:30 AM CUT",,2025-10-27T19:53:47.229283+00:00,2025-11-04T18:02:12.999915+00:00
455,CodeClash,https://unstop.com/hackathons/codeclash-pranveer-singh-institute-of-technology-psit-kanpur-1544598,Pranveer Singh Institute of Technology (PSIT Kanpur),801,801,49328,"Everything you need to know about
CodeClash
CodeClash – Hackathon Challenge is a 100% online coding competition designed to test participants on programming, problem-solving, and creativity.
Eligibility:
Open to all college students (UG/PG) across India
Team Size: Individual
Inter-college candidates allowed
Inter-specialization candidates allowed (students from different streams can attend)
Mode:
100% Online
Evaluation Criteria:
Problem-solving approach
Data structure and algorithm
Code accuracy and efficiency
Creativity and innovation in final round
Presentation skills in final round
Format & Rounds:
Round 1: Coding Round
Online coding challenge
Duration: 2–3 hours
2–3 problem statements (data structures, algorithms, logical thinking)
Submit working code within the time limit
Purpose: Identify top coders for the finale
Final Decision
Jury will decide finalists on the basis of score achieved and time taken
Rules:
This is an individual event – no teams allowed
All submissions must be original; plagiarism or code-sharing will lead to disqualification
Participants must adhere to deadlines; late submissions will not be considered
Any malpractice (multiple logins, unfair collaboration, plagiarism) will lead to immediate disqualification
Decision of organizers and judges will be final and binding
Professional and respectful behavior is expected from all participants
Prizes & Perks:
Winner goodies
Exclusive t-shirts
Diaries
Bookmarks
Stickers
Certificate of Achievement for winners
Participation Certificate for all attendees who appear in the coding round",,"Stages and Timelines 14 Sep 25 CodeClash Coding Round (on Unstop) On This will be an Assessment round! You will see the Play button here, once the round is live. Starts 11 AM Start: 14 Sep 25, 05:30 AM CUT End: 14 Sep 25, 11:30 AM CUT Results
14 Sep 25 CodeClash Coding Round (on Unstop) On This will be an Assessment round! You will see the Play button here, once the round is live. Starts 11 AM Start: 14 Sep 25, 05:30 AM CUT End: 14 Sep 25, 11:30 AM CUT Results
CodeClash Coding Round (on Unstop) On This will be an Assessment round! You will see the Play button here, once the round is live. Starts 11 AM Start: 14 Sep 25, 05:30 AM CUT End: 14 Sep 25, 11:30 AM CUT Results
Start: 14 Sep 25, 05:30 AM CUT End: 14 Sep 25, 11:30 AM CUT Results
Start: 14 Sep 25, 05:30 AM CUT End: 14 Sep 25, 11:30 AM CUT
Start: 14 Sep 25, 05:30 AM CUT
End: 14 Sep 25, 11:30 AM CUT
Registration Deadline 12 Sep 25, 07:00 AM CUT
Round 1 : Coding 14 Sep 25, 05:30 AM CUT",,2025-10-27T19:53:36.687319+00:00,2025-11-04T18:02:24.442189+00:00
454,Smart Coder 2.25,https://unstop.com/hackathons/smart-coder-225-b-p-poddar-institute-of-management-and-technology-1541819,B. P. Poddar Institute of Management and Technology,259,259,16012,"Everything you need to know about
Smart Coder 2.25
Smart Coder 2.25 – The Ultimate Competitive Coding Showdown in Kolkata!
Kolkata, the City of Joy, is about to turn into the City of Code!
Brace yourself for Smart Coder 2.25, a high-voltage competitive coding challenge designed to push your problem-solving skills, test your speed, and ignite your passion for algorithms and logic. Whether you’re a seasoned competitive programmer or just starting your journey into the world of DSA and algorithms, Smart Coder 2.25 is the perfect arena to prove your mettle.
This is not just another coding event – this is where logic meets lightning speed. Here, every second counts, every keystroke matters, and every bug could make the difference between victory and defeat.
Why Smart Coder 2.25 is Different?
In most competitions, you just solve problems. But here, you battle the clock, the leaderboard, and some of the sharpest minds in the country. We’re bringing you challenges that go beyond simple syntax or memorized patterns – we’re talking about real-time brain wars that will stretch your creativity, sharpen your thinking, and force you to optimize like never before.
This event is tailor-made for those who:
Thrive under pressure
Love finding elegant solutions to complex problems
Want to test themselves against competitive peers
Enjoy the thrill of live rankings and instant feedback
Event Structure:
Smart Coder 2.25 is designed to keep your adrenaline pumping from the very first second. Here’s what you can expect:
Prelims Round (Online):
Date: 11th September 2025
Duration: 30 minutes
Platform: Unstop
Format: 60 MCQs testing Data Structures, Algorithms, and Aptitude (including theory-based questions, error detection, and output prediction).
This round will filter out the sharpest minds who can think and react fast under pressure.
Finals / Mains Round (Offline):
Platform: HackerRank
Format: Hands-on coding problems that demand speed, accuracy, and efficiency.
This is where your problem-solving ability will be truly tested in a real coding environment.
Only the best from the prelims will advance to this round, so bring your A-game!
2 More independent events
Juno (Arduino Programming) & Forma (Hardware Design)
happening alongside Smart Coder -
Know More","aniketde1234@gmail.com
+919038903850
bhandaryprotyoy@gmail.com
+918274034667
+919333270908","11 Sep 25 Prelims Round (Online) On This will be an Assessment round! You will see the Play button here, once the round is live. Start: 11 Sep 25, 03:45 PM CUT End: 11 Sep 25, 03:55 PM CUT Results
Prelims Round (Online) On This will be an Assessment round! You will see the Play button here, once the round is live. Start: 11 Sep 25, 03:45 PM CUT End: 11 Sep 25, 03:55 PM CUT Results
Start: 11 Sep 25, 03:45 PM CUT End: 11 Sep 25, 03:55 PM CUT Results
Start: 11 Sep 25, 03:45 PM CUT End: 11 Sep 25, 03:55 PM CUT
Start: 11 Sep 25, 03:45 PM CUT
End: 11 Sep 25, 03:55 PM CUT
11 Sep 25 Prelims Round On This will be an Assessment round! You will see the Play button here, once the round is live. Start: 11 Sep 25, 05:30 PM CUT End: 11 Sep 25, 05:40 PM CUT
Prelims Round On This will be an Assessment round! You will see the Play button here, once the round is live. Start: 11 Sep 25, 05:30 PM CUT End: 11 Sep 25, 05:40 PM CUT
Start: 11 Sep 25, 05:30 PM CUT End: 11 Sep 25, 05:40 PM CUT
Start: 11 Sep 25, 05:30 PM CUT
End: 11 Sep 25, 05:40 PM CUT
13 Sep 25 Mains Round (Offline) Not on Unstop This will be an Assessment round! You will see the Play button here, once the round is live. Start: 13 Sep 25, 08:00 AM CUT End: 13 Sep 25, 08:45 AM CUT
Mains Round (Offline) Not on Unstop This will be an Assessment round! You will see the Play button here, once the round is live. Start: 13 Sep 25, 08:00 AM CUT End: 13 Sep 25, 08:45 AM CUT
Start: 13 Sep 25, 08:00 AM CUT End: 13 Sep 25, 08:45 AM CUT
Start: 13 Sep 25, 08:00 AM CUT
End: 13 Sep 25, 08:45 AM CUT
13 Sep 25 Finals (Offline Round) This will be a Offline round! You will see the “Enter” button here, once the round is live. Start: 13 Sep 25, 10:00 AM CUT End: 13 Sep 25, 11:00 AM CUT
Finals (Offline Round) This will be a Offline round! You will see the “Enter” button here, once the round is live. Start: 13 Sep 25, 10:00 AM CUT End: 13 Sep 25, 11:00 AM CUT
Start: 13 Sep 25, 10:00 AM CUT End: 13 Sep 25, 11:00 AM CUT
Start: 13 Sep 25, 10:00 AM CUT",https://forms.gle/SDnfjeKfDgKtsZQf9,2025-10-27T19:53:16.516329+00:00,2025-11-04T18:02:39.968842+00:00
453,InnovAIte AI Hackathon 2025 Grab  Internship opportunity Worth 20k+,https://unstop.com/hackathons/innovaite-ai-hackathon-2025-proptelligence-technologies-1544888,Proptelligence Technologies,60,60,57226,"Everything you need to know about
InnovAIte AI Hackathon 2025 Grab  Internship opportunity Worth 20k+
About the Hackathon:
The Innovate AI Hackathon 2025 is a national-level competition challenging students, professionals, and innovators to leverage Artificial Intelligence for real-world impact. This hackathon aims to foster creativity, collaboration, and cutting-edge AI development, focusing on solutions that address pressing societal challenges.
Join us to turn your innovative ideas into impactful AI prototypes and compete for exciting cash prizes and invaluable opportunities.
Theme: AI for a Sustainable Future:
Participants are encouraged to develop AI solutions that contribute to sustainability, environmental conservation, and social good. Focus areas include, but are not limited to:
Climate Action & Environment: AI-powered solutions for monitoring environmental changes, optimizing resource usage, or promoting eco-friendly practices.
Smart Cities & Infrastructure: AI applications for energy efficiency, waste management, or sustainable urban planning.
Healthcare & Wellbeing: AI tools for improving public health outcomes, accessibility, or personalized wellness.
Education & Inclusivity: AI-driven platforms for personalized learning, skill development, or bridging digital divides.
Ethical AI: Projects focusing on fair, transparent, and unbiased AI systems.
Eligibility & Team Size:
Open to all students (undergraduate and postgraduate), professionals, researchers, and AI enthusiasts across India.
No restrictions on academic background or experience level.
Team Size: 2 to 4 members. Individual participation is not allowed.
Participants must be 18 years or older.
Important Dates:
Registration Deadline: September 15, 2025 (11:59 PM IST)
Shortlisted Teams Announcement: September 15, 2025
Grand Finale: September 22, 2025 (12-hour event)
How to Participate:
Form a Team: Gather 2 to 3 enthusiastic members who are passionate about AI.
Register Online: Complete the registration form by the deadline (September 10, 2025). Ensure all team members' details are accurate.
Submit Your Idea: Prepare and submit your Phase 1 idea proposal (PPT/document) by the specified deadline.
Await Shortlisting: Keep an eye on your email for the announcement of shortlisted teams.
Join the Grand Finale: If shortlisted, prepare to join the intensive 12-hour hackathon to build and demonstrate your prototype.","info@proptelligenceai.com
+919440958385","Registration Deadline 10 Sep 25, 05:30 PM CUT
Registration Closed on 15 Sep 25, 06:29 AM CUT",,2025-10-27T19:53:04.706867+00:00,2025-11-04T18:02:54.357886+00:00
452,Bappa Ka Prashad 5.0,https://unstop.com/hackathons/bappa-ka-prashad-50-google-developer-groupsgdg-shri-ramdeoababa-university-1544907,Shri Ramdeobaba University,1742,1742,58318,"Everything you need to know about
Bappa Ka Prashad 5.0
Welcome to the divine coding challenge dedicated to Ganpati Bappa!
We at
GDG on Campus Ramdeobaba University (GDG RBU), Nagpur
invite you to join an exciting
competitive programming contest
.
Event Details:
Date: 31st August 2025
Time: 8pm - 10pm (IST)
Platform: CodeChef
Contest Type: Individual Competitive Programming
Contest Format:
Duration: 2 hours
Number of Problems: 6-8 problem statements
Difficulty Range: Easy to Hard (suitable for all skill levels)
Language Support: CodeChef supported languages
Contest Link :
CodeChef
Eligibility Criteria:
Open to all college students
Individual participation only (no team formation allowed)
Both undergraduate and postgraduate students eligible
Registration & Access Process:
Register on Unstop for the event
Participants will receive the contest link via email after successful registration & can access the contest link through official website
Use your CodeChef credentials to participate (create account if needed)
Contest will be live on CodeChef platform at the scheduled time
Technical Rules:
Standard CodeChef contest rules apply
Real-time leaderboard will be maintained
Communication & Support:
Contest link and important updates will be shared via registered email , website & official social media handels
Technical support available during contest hours
Join our official communication channel for real-time updates
Emergency contact details will be shared via email
Whatsapp Group :
Whatsapp
Official Website :
BKP5.0
Prizes & Recognition:
Prize Pool: ₹15,000
Winner: ₹7,000 + Certificate
1st Runner Up: ₹5,000 + Certificate
2nd Runner Up: ₹3,000 + Certificate
Additional Recognition:
Certificates for all participants
Special recognition for top performers
Feature on our social media platforms for outstanding performers","dixitrs_1@rknec.edu
+917028666611
ralhanA@rknec.edu
+919424151234","22 Aug 25 Registrations Begin! Bappa ka Prashad 5.0 is here! 🎉 Register now and join ""Bappa ka Prashad 5.0"" on CodeChef, 31st Aug. Start: 22 Aug 25, 05:00 AM CUT End: 31 Aug 25, 02:30 PM CUT
Registrations Begin! Bappa ka Prashad 5.0 is here! 🎉 Register now and join ""Bappa ka Prashad 5.0"" on CodeChef, 31st Aug. Start: 22 Aug 25, 05:00 AM CUT End: 31 Aug 25, 02:30 PM CUT
Start: 22 Aug 25, 05:00 AM CUT End: 31 Aug 25, 02:30 PM CUT
Start: 22 Aug 25, 05:00 AM CUT
End: 31 Aug 25, 02:30 PM CUT
21 Aug 25 Joining WhatsApp Group (mandatory) https://chat.whatsapp.com/GmNfhIef9osGff4aSD3ACj?mode=ems_wa_c Start: 21 Aug 25, 04:32 PM CUT End: 31 Aug 25, 05:00 PM CUT
Joining WhatsApp Group (mandatory) https://chat.whatsapp.com/GmNfhIef9osGff4aSD3ACj?mode=ems_wa_c Start: 21 Aug 25, 04:32 PM CUT End: 31 Aug 25, 05:00 PM CUT
Start: 21 Aug 25, 04:32 PM CUT End: 31 Aug 25, 05:00 PM CUT
Start: 21 Aug 25, 04:32 PM CUT
End: 31 Aug 25, 05:00 PM CUT
31 Aug 25 The Auspicious Contest The Contest will be held on Codechef - https://www.codechef.com/GDGRBUFL Start: 31 Aug 25, 02:30 PM CUT End: 31 Aug 25, 04:30 PM CUT
The Auspicious Contest The Contest will be held on Codechef - https://www.codechef.com/GDGRBUFL Start: 31 Aug 25, 02:30 PM CUT End: 31 Aug 25, 04:30 PM CUT
Start: 31 Aug 25, 02:30 PM CUT End: 31 Aug 25, 04:30 PM CUT
Start: 31 Aug 25, 02:30 PM CUT
End: 31 Aug 25, 04:30 PM CUT
Registration Deadline 31 Aug 25, 02:30 PM CUT",https://www.codechef.com/GDGRBUFL,2025-10-27T19:52:53.268389+00:00,2025-11-04T18:03:10.262566+00:00
451,HARDWIRED - The Hardware Hackathon,https://unstop.com/hackathons/hardwired-the-hardware-hackathon-infotsav25-atal-bihari-vajpayee-indian-institute-of-information-technology-a-1544815,Atal Bihari Vajpayee-Indian Institute of Information Technology and Management,660,660,85937,"Everything you need to know about
HARDWIRED - The Hardware Hackathon
A national-level hardware hackathon where innovation meets real-world problem solving. Participants will design, build, and showcase working hardware prototypes aligned with specified tracks.
Round 1 (Online) – Idea Submission:
Teams must submit a PPT and video of their prototype before 12th September.
The PPT should clearly highlight the concept, approach, and include images of their prototype.
Reference for tracks:
PDF LINK.
Reference format of
PDF to be submitted
(if already submitted, no need to change )
Based on submissions, shortlisted teams will move to the Final Onsite Round.
Evaluation Criteria (Round 1):
Innovation & Creativity – How unique and original the idea is.
Feasibility & Practicality – How implementable the proposed solution is.
Impact & Relevance – Alignment with real-world problems and usefulness.
Clarity of Presentation – How well the idea is explained and structured in the PPT.
Round 2 (Final Onsite Round) – Prototype Presentation:
Shortlisted teams will be invited to our campus.
Participants must display their working prototype to the judging panel.
Presentations will be conducted in three different tracks.
Prizes: Winners will be announced for each track, along with one overall prize across all tracks.
More details of this round will be shared with shortlisted teams after Round 1.
Participation Rules:
Team size: 2–4 members.
Submissions must be original and authentic — plagiarized submissions are highly discouraged.
Teams must ensure that their final prototype is their original work and can be physically demonstrated.
The decision of the judges will be final and binding.","bhudevbhanpuriya03@gmail.com
+918823085185
princeagrawal1013@gmail.com
+918265819270
manshujaiswal555@gmail.com
+919907489679","21 Aug 25 Round 1 (Online) – Idea Submission On Teams must submit a PPT and video of their prototype. The PPT should clearly highlight the concept, approach, and include images of their prototype. Start: 21 Aug 25, 04:00 PM CUT End: 12 Sep 25, 05:30 PM CUT
Round 1 (Online) – Idea Submission On Teams must submit a PPT and video of their prototype. The PPT should clearly highlight the concept, approach, and include images of their prototype. Start: 21 Aug 25, 04:00 PM CUT End: 12 Sep 25, 05:30 PM CUT
Start: 21 Aug 25, 04:00 PM CUT End: 12 Sep 25, 05:30 PM CUT
Start: 21 Aug 25, 04:00 PM CUT
End: 12 Sep 25, 05:30 PM CUT
10 Oct 25 Round 2 (Final Onsite Round) – Prototype Presentation Participants must display their working prototype to the judging panel. Presentations will be conducted in three different tracks. Start: 10 Oct 25, 09:30 AM CUT End: 12 Oct 25, 05:30 PM CUT
Round 2 (Final Onsite Round) – Prototype Presentation Participants must display their working prototype to the judging panel. Presentations will be conducted in three different tracks. Start: 10 Oct 25, 09:30 AM CUT End: 12 Oct 25, 05:30 PM CUT
Start: 10 Oct 25, 09:30 AM CUT End: 12 Oct 25, 05:30 PM CUT
Start: 10 Oct 25, 09:30 AM CUT
End: 12 Oct 25, 05:30 PM CUT
Registration Deadline 12 Sep 25, 05:30 PM CUT",https://drive.google.com/file/d/1J_Far0x7L0y6tso4C5ahOF6QeMF3rr5N/view?usp=sharing,2025-10-27T19:52:43.996800+00:00,2025-11-04T18:03:24.526188+00:00
450,Pixel Wizard,https://unstop.com/hackathons/pixel-wizard-techfest25-annual-technical-festival-of-sliet-sant-longowal-institute-of-engineering-and-technol-1536498,"Sant Longowal Institute of Engineering and Technology, Longowal, Punjab",125,125,51164,"Everything you need to know about
Pixel Wizard
For Non-SLIET Participants Only,
techFEST 2025 is North India's premier technical festival. This is a paid opportunity with the packages mentioned below:
Select Your Registration Package:
₹249 Package
Participation in all technical & non-technical events
Free entry to the Grand Cultural Evening
₹499 Package
Everything included in the ₹249 package
Free accommodation for 2 days on campus
Note:
Meal charges will be applicable as per institute norms
Prepare yourself for a journey of technology, creativity, and celebration.
Mark your calendars and be part of the magic of techFEST'25 at SLIET.
Introduction:
Pixel Wizard, the ultimate frontend web development event at techFEST ‘25, is here to challenge your creativity and coding skills. This dynamic competition brings together designers, developers, and digital creatives to create amazing, usable web projects within a time constraint.
In this edition, the focus shifts entirely to frontend development — giving you the freedom to use any tech stack of your choice. Whether it's React, Vue, plain HTML/CSS/JS, or anything in between — your imagination is the only limit.
Pixel Wizard is your chance to deploy ideas, exchange knowledge, and be part of a vibrant community where creativity meets code.
Gameplay:
The competition will run for 24 continuous hours.
A single problem statement will be given to all teams at the start.
Participants must deploy their final project and ensure Inspect Element is enabled.
The competition will be held in a hybrid format – both online and offline participation is allowed.
After submission, participants must fill out a Google Form to share team details and the deployed project link.
Each team must maintain a GitHub repository named after the team name.
Judges' decisions will be final and binding.
Rules:
This is a frontend-only contest.
Any frontend tech stack (React, Vue, Angular, Svelte, Tailwind, Bootstrap, etc.) is allowed.
Teams must have a minimum of 2 and maximum of 3 members.
Teams must register on both the techFest ‘25 website and Unstop.
Plagiarism is strictly prohibited — do not copy existing projects (e.g., Pilgrim or any public project).
If found copied, the team will be immediately disqualified.
Disqualified teams will not receive participation certificates.
Scoring Criteria:
UI/UX design, responsiveness, and functionality are key scoring parameters.
Use of proper coding practices and naming conventions will add to the score.
Deployment quality and accessibility (inspect enabled) will be considered.
Originality and creativity of the project will be rewarded.
Certification:
Top 3 teams will receive Winner Certificates and cash prizes.
All valid participants (except disqualified teams) will receive Participation Certificates.
Important Note:
All the participants must make payment on the techFEST'25
website
. Without payment, their participation will not be considered, and they will be disqualified.
The organizers reserve the right to modify the rules, prize pool, dates, venue, or timing of the competition if deemed necessary under unforeseen circumstances.
All guidelines are subject to change. Participants are advised to regularly check the official techFEST ‘25 website for any updates. Any changes or announcements will be posted there. Adherence to the latest rules is mandatory for all teams.",,,http://www.techfestsliet.com,2025-10-27T19:50:30.131833+00:00,2025-11-04T18:03:36.593663+00:00
449,Logic Flow,https://unstop.com/hackathons/logic-flow-techfest25-annual-technical-festival-of-sliet-sant-longowal-institute-of-engineering-and-technolog-1536499,"Sant Longowal Institute of Engineering and Technology, Longowal, Punjab",155,155,15395,"Everything you need to know about
Logic Flow
For Non-SLIET Participants Only,
techFEST 2025 is North India's premier technical festival. This is a paid opportunity with the packages mentioned below:
Select Your Registration Package:
₹249 Package
Participation in all technical & non-technical events
Free entry to the Grand Cultural Evening
₹499 Package
Everything included in the ₹249 package
Free accommodation for 2 days on campus
Note:
Meal charges will be applicable as per institute norms
Prepare yourself for a journey of technology, creativity, and celebration.
Mark your calendars and be part of the magic of techFEST'25 at SLIET.
Introduction:
Get ready for a coding competition where teamwork and precision are everything. In Logic Flow, your team of three will face three interconnected coding problems. The output of one coder’s solution becomes the input for the next, forming a continuous chain.
But beware—if one coder fails, the entire chain will collapse in a cascading failure. This challenge tests your coding skills, problem-solving abilities, and your team's coordination under pressure.
Can your team rise to the challenge and complete the cascade flawlessly? Step up, sync up, and prove your coding strength!
Guidelines:
The contest will run for 1.5 hour and feature 3 problems to solve one for each teammate.
Each team must consist of exactly three members.
The output of one solution becomes the input for the next. If one solution fails, subsequent solutions will become invalid.
Team Composition:
Team size: 3 members
Team members: A, B, C
Each member works on a distinct task:
A solves Problem 1 → generates output
B uses A’s output to solve Problem 2
C uses B’s output to solve Problem 3
Rules:
Each team member may only work on their assigned sub-problem.
Tools: Only approved IDEs on platform; no external communication.
Plagiarism of code or output is forbidden. Any plagiarism will result in instant disqualification.
Presence:
All teams must be present physically on-site.
Participants must register on both the official techFEST'25 website and unstop.
Disqualified contestants will not receive a participation certificate.
The decisions of the organizers will be final and binding.
Certification:
Top 3 performers will receive winner certificates and cash prizes.
All contestants (except the disqualified ones) will receive participation certificates.
Important Note:
All the participants must make payment on the techFEST'25
website
. Without payment, their participation will not be considered, and they will be disqualified.
The organizers reserve the right to modify the rules, prize pool, dates, venue, or timing of the competition if deemed necessary under unforeseen circumstances.
All guidelines are subject to change. Participants are advised to regularly check the official techFEST ‘25 website for any updates. Any changes or announcements will be posted there. Adherence to the latest rules is mandatory for all teams.",,,http://www.techfestsliet.com,2025-10-27T19:50:28.760411+00:00,2025-11-04T18:03:56.522977+00:00
448,AI Chit-Chat,https://unstop.com/hackathons/ai-chit-chat-techfest25-annual-technical-festival-of-sliet-sant-longowal-institute-of-engineering-and-technol-1538113,"Sant Longowal Institute of Engineering and Technology, Longowal, Punjab",57,57,12387,"Everything you need to know about
AI Chit-Chat
For Non-SLIET Participants Only,
techFEST 2025 is North India's premier technical festival. This is a paid opportunity with the packages mentioned below:
Select Your Registration Package:
₹249 Package
Participation in all technical & non-technical events
Free entry to the Grand Cultural Evening
₹499 Package
Everything included in the ₹249 package
Free accommodation for 2 days on campus
Note:
Meal charges will be applicable as per institute norms
Prepare yourself for a journey of technology, creativity, and celebration.
Mark your calendars and be part of the magic of techFEST'25 at SLIET.
Introduction:
The AI Chit Chat Bot Challenge is an engaging event for AI enthusiasts who are passionate about conversational intelligence. This dynamic competition provides a platform for participants to showcase their skills in building smart, interactive chatbots. From mastering natural language understanding to designing engaging conversation flows, participants will step into the frontier of AI-driven human-computer interaction. The event is a celebration of creativity, logic, and innovation in digital communication
Guidelines
:
This is a time-bound challenge lasting for 90 minutes.
Participants will be given a predefined problem statement related to chatbot design.
The chatbot must be built using the Botpress platform.
Submissions must be uploaded to a GitHub repository for final evaluation.
The bot should be functional and able to handle meaningful conversations by the end of the time limit.
Participation:
This is a solo event (individual participation only)
This event will be hybrid. For students from SLIET, it will be conducted offline, while for participants from outside, it will be available in both offline and online modes
Rules:
The chatbot must be developed using AI frameworks or technologies.
Use of pre-built chatbot platforms (like Botpress) is permitted.
This is an individual event, team participation is not allowed.
Evaluation will be based on the chatbot’s accuracy, functionality, and responsiveness, along with the creativity and innovation in its dialogue design and user interaction.
Participants must register on the official techFEST'25 website or Unstop.
Any violation of rules or misconduct will lead to immediate disqualification.
Disqualified contestants will not receive a participation certificate.
The decisions of the organizers will be final and binding.
Certification:
Top 3 performers will receive winner certificates and cash prizes.
All contestants (except the disqualified ones) will receive participation certificates.
Important Note:
All the participants must make payment on the techFEST'25
website
. Without payment, their participation will not be considered, and they will be disqualified.
The organizers reserve the right to modify the rules, prize pool, dates, venue, or timing of the competition if deemed necessary under unforeseen circumstances.
All guidelines are subject to change. Participants are advised to regularly check the official techFEST ‘25 website for any updates. Any changes or announcements will be posted there. Adherence to the latest rules is mandatory for all teams.",,,http://www.techfestsliet.com,2025-10-27T19:50:27.414103+00:00,2025-11-04T18:04:13.784415+00:00
